merchant_id,merchant_name,category,city,region,mcc_code,risk_score,avg_transaction_uzs,is_online,years_registered
M00000,Nur Store,Fuel,Jizzakh,Jizzakh,8073,4.1,288152,1,2
M00001,Fayz Plus,Telecom,Guliston,Sirdaryo,4443,20.2,190779,0,8
M00002,Mehr Market,Utilities,Nukus,Karakalpakstan,2872,12.7,37694,1,3
M00003,Shams Bozor,Clothing,Andijan,Andijan,4679,2.1,439098,0,8
M00004,Fayz Center,Grocery,Fergana,Fergana,3205,18.5,96090,0,2
M00005,Oltin Bozor,Fuel,Samarkand,Samarkand,6472,13.0,51390,1,5
M00006,Fayz Bozor,Pharmacy,Namangan,Namangan,5183,16.3,43213,0,7
M00007,Baraka Store,ATM,Guliston,Sirdaryo,2745,14.4,34271,1,9
M00008,Nur Center,Telecom,Tashkent,Tashkent City,7013,21.2,81639,1,2
M00009,Mehr Service,Utilities,Jizzakh,Jizzakh,6227,24.4,66110,1,1
M00010,Nur Store,Fuel,Jizzakh,Jizzakh,9603,10.2,49003,0,5
M00011,Kumush Center,Fuel,Namangan,Namangan,9442,21.8,93126,1,1
M00012,Zafar Service,Restaurant,Fergana,Fergana,4847,16.4,406171,0,2
M00013,Yulduz Center,Fuel,Termez,Surxondaryo,5301,24.9,68564,0,6
M00014,Yulduz Bozor,Cash,Bukhara,Bukhara,7660,23.3,92292,0,2
M00015,Baraka Store,Transport,Termez,Surxondaryo,4750,0.7,189161,0,0
M00016,Kumush Shop,Telecom,Guliston,Sirdaryo,6343,17.0,507911,1,1
M00017,Baraka Store,Pharmacy,Nukus,Karakalpakstan,2057,24.4,139337,0,6
M00018,Nur Center,Restaurant,Jizzakh,Jizzakh,4480,43.0,172985,1,0
M00019,Oltin Bozor,Electronics,Qarshi,Qashqadaryo,7618,46.8,235603,0,6
M00020,Baxt Shop,Fuel,Tashkent,Tashkent City,9666,31.4,177070,1,2
M00021,Baraka Market,ATM,Jizzakh,Jizzakh,7255,11.2,31779,0,6
M00022,Kumush Center,Electronics,Nukus,Karakalpakstan,1887,21.8,64942,1,9
M00023,Yulduz Store,Cash,Nukus,Karakalpakstan,6853,28.0,210930,0,1
M00024,Baxt Shop,Fuel,Bukhara,Bukhara,2649,18.9,78076,0,3
M00025,Fayz Store,Clothing,Nukus,Karakalpakstan,9621,34.3,42350,1,9
M00026,Fayz Center,Restaurant,Nukus,Karakalpakstan,5045,9.8,96551,1,3
